call_id,caller_number,callee_number,start_time,end_time,duration
47826ebd-9928-4f11-9c92-6d188763a286,+21650510097,+21650962931,2025-01-19T00:33:28.847195282+00:00,2025-01-19T00:40:42.847195282+00:00,434
c139a2c2-fbf5-46f0-8353-33d2d29cb62a,+21650386969,+21650612615,2025-01-19T00:33:28.847214282+00:00,2025-01-19T00:48:48.847214282+00:00,920
09a4a063-fae7-45d5-b2e6-b491f1d57417,+21650202736,+21650467744,2025-01-19T00:33:28.847219082+00:00,2025-01-19T00:57:46.847219082+00:00,1458
566b9a9c-1200-407d-b793-71dd7250b279,+21650834522,+21650360581,2025-01-19T00:33:28.847223682+00:00,2025-01-19T01:08:10.847223682+00:00,2082
d2a63323-8180-4652-9372-1f66f3bfc58b,+21650259023,+21650255143,2025-01-19T00:33:28.847228083+00:00,2025-01-19T01:12:29.847228083+00:00,2341
34ee8557-91d0-48eb-8c41-be0f4b48e9b2,+21650110983,+21650330556,2025-01-19T00:33:28.847233083+00:00,2025-01-19T01:04:47.847233083+00:00,1879
3ee33855-7ff8-4cca-9570-5a1b282987c1,+21650483476,+21650156442,2025-01-19T00:33:28.847237683+00:00,2025-01-19T01:29:42.847237683+00:00,3374
c28813ca-a7da-42b1-9f73-20a8a4479030,+21650105639,+21650768915,2025-01-19T00:33:28.847242383+00:00,2025-01-19T01:15:13.847242383+00:00,2505
1d708feb-1140-473c-8afd-1ac583b183ce,+21650367814,+21650765088,2025-01-19T00:33:28.847246783+00:00,2025-01-19T00:43:41.847246783+00:00,613
3482059f-fbc8-4beb-add8-b62317c84869,+21650809256,+21650360713,2025-01-19T00:33:28.847253883+00:00,2025-01-19T01:19:12.847253883+00:00,2744
3e3ef5d6-e4cf-4375-9393-f7bd5c4502c6,+21650613131,+21650037302,2025-01-19T00:33:28.847258683+00:00,2025-01-19T00:56:39.847258683+00:00,1391
53b381e8-2819-4d7a-95d3-97294124752b,+21650078012,+21650482728,2025-01-19T00:33:28.847263183+00:00,2025-01-19T00:53:15.847263183+00:00,1187
df2d4640-1405-482d-8677-47be03dbb6a9,+21650494321,+21650507661,2025-01-19T00:33:28.847267783+00:00,2025-01-19T01:19:30.847267783+00:00,2762
8e5343e2-a038-4b30-9a32-e618720e88f7,+21650757221,+21650204829,2025-01-19T00:33:28.847272383+00:00,2025-01-19T00:59:43.847272383+00:00,1575
f647524a-6813-4a1e-ae5d-9e2b9c6ead88,+21650867918,+21650588631,2025-01-19T00:33:28.847276883+00:00,2025-01-19T00:50:16.847276883+00:00,1008
0f6c28b2-84ec-446f-9a9c-bc3a7a3b8bf6,+21650131802,+21650245766,2025-01-19T00:33:28.847281383+00:00,2025-01-19T01:30:25.847281383+00:00,3417
8ddede93-750b-4f59-b5fc-fa785c2fbf86,+21650543558,+21650009420,2025-01-19T00:33:28.847285883+00:00,2025-01-19T01:02:17.847285883+00:00,1729
65d654c9-977f-4409-9293-8e0b70c0431e,+21650633295,+21650767275,2025-01-19T00:33:28.847292884+00:00,2025-01-19T01:03:27.847292884+00:00,1799
331df9ab-5c00-47dd-b83a-c7553f01ce92,+21650147989,+21650497483,2025-01-19T00:33:28.847297784+00:00,2025-01-19T01:32:29.847297784+00:00,3541
107c16ad-4a62-4911-91c7-8629e65c0aad,+21650028730,+21650274748,2025-01-19T00:33:28.847320284+00:00,2025-01-19T01:23:56.847320284+00:00,3028
4ac23221-549b-42fe-af64-1b50db651734,+21650003890,+21650998422,2025-01-19T00:33:28.847325184+00:00,2025-01-19T01:19:11.847325184+00:00,2743
69334ecb-12ff-4cd9-8ec2-0c6a7b72b343,+21650538208,+21650055954,2025-01-19T00:33:28.847329684+00:00,2025-01-19T01:10:15.847329684+00:00,2207
c4d1a58c-6a15-4ac9-9f65-46c654c2e102,+21650519730,+21650779943,2025-01-19T00:33:28.847334284+00:00,2025-01-19T01:23:20.847334284+00:00,2992
a32f945b-aed3-4cab-9462-f7b83d7b7ab5,+21650558331,+21650624635,2025-01-19T00:33:28.847338784+00:00,2025-01-19T01:09:27.847338784+00:00,2159
ea412edb-dfa5-4c97-b5e9-6062b0d4fb97,+21650640398,+21650707605,2025-01-19T00:33:28.847343284+00:00,2025-01-19T01:29:19.847343284+00:00,3351
68bb23ad-92aa-4db3-b7fe-45d4c61e3c7f,+21650994944,+21650332325,2025-01-19T00:33:28.847348084+00:00,2025-01-19T01:00:08.847348084+00:00,1600
b56d568f-2c62-4193-944e-d911dad6d972,+21650031595,+21650559856,2025-01-19T00:33:28.847352584+00:00,2025-01-19T01:27:08.847352584+00:00,3220
da4e7f80-0c7a-4e99-8081-d7b10e2f4e3d,+21650300003,+21650712808,2025-01-19T00:33:28.847356984+00:00,2025-01-19T01:25:12.847356984+00:00,3104
0fb09342-12c0-437d-8f75-c1790abffb89,+21650716280,+21650684353,2025-01-19T00:33:28.847363785+00:00,2025-01-19T01:25:23.847363785+00:00,3115
190663aa-2405-442e-bffe-50b6c3421fbd,+21650113913,+21650358675,2025-01-19T00:33:28.847368185+00:00,2025-01-19T01:25:42.847368185+00:00,3134
8a520f2d-0628-4850-92ad-fadc7408fe46,+21650904080,+21650878410,2025-01-19T00:33:28.847372585+00:00,2025-01-19T01:16:05.847372585+00:00,2557
9e36f750-2152-4d38-8001-5aa65d7adaa3,+21650434763,+21650470660,2025-01-19T00:33:28.847376985+00:00,2025-01-19T01:24:35.847376985+00:00,3067
62072055-e6a4-4da3-885e-eb73a87befee,+21650548190,+21650196760,2025-01-19T00:33:28.847381385+00:00,2025-01-19T00:59:59.847381385+00:00,1591
b352b272-9ac6-4fe7-915d-5ab979bb4a84,+21650487630,+21650541469,2025-01-19T00:33:28.847391985+00:00,2025-01-19T00:50:32.847391985+00:00,1024
38ba0901-2c82-4a6e-a0d1-8b6a1ab15bba,+21650613327,+21650891428,2025-01-19T00:33:28.847396885+00:00,2025-01-19T01:21:30.847396885+00:00,2882
